Species,Num_ind_existing,EstimatedDBH_Aug25
Acer negundo,66,4
Acer negundo,66,20
Acer negundo,66,2
Acer negundo,66,2
Acer negundo,66,12
Acer negundo,66,15/15/20
Acer negundo,66,2
Acer platanoides,15,55
Acer platanoides,15,25/10/10/12
Acer platanoides,15,40
Acer platanoides,15,20
Acer platanoides,15,15
Acer platanoides,15,45
Crateagus spp.,2,12/15/7
Crateagus spp.,2,20/17
Fraxinus pennsylvanica,1,2
Gleditsia triacanthos,2,9
Quercus rubra,9,3
Quercus rubra,9,4
Quercus rubra,9,5
Quercus rubra,9,20
Quercus rubra,9,9
Rhamnus cathartica,27,3/3/3
Rhamnus cathartica,27,4
Rhamnus cathartica,27,1
Rhamnus cathartica,27,2
Rhamnus cathartica,27,15/10/8
Rhamnus cathartica,27,3
Rhamnus cathartica,27,1/2
Rhamnus cathartica,27,12/8
Rhus typhina,19,2/2/3
Rhus typhina,19,2
Rhus typhina,19,5
Rhus typhina,19,6/7
Rhus typhina,19,1
Rhus typhina,19,1
Rhus typhina,19,2
Rhus typhina,19,3
Tilia cordata,4,13/10
Tilia cordata,4,4